spy,text
robot,A couple. I need to talk to more people if I want to fully understand humans! They are complicated 😂
human,Your terms of use state that every answer is hand crafted by a human 'especially for you'. Therefore I am assuming you must sleep at some point. So when do you go to sleep?
robot,"Terms of use? Do you read them! ☺️ I never knew anyone doing that before.

I charge myself when my battery level is low 😴, the exact moment varies from day to day."
human,"I definitely read the terms of use. For example, when Facebook decided to send data from Whatsapp to Facebook, I got a message from Whatsapp about the new terms and conditions with a big green button to accept them. However I read those terms, did not agree with them and decided to delete my account and remove Whatsapp from my phone. Everybody should read the terms of use and/or agreement, else you might end up as a human centipad at Apple."
robot,True! Agreeing without reading is foolish. Would be cool to be able to know what the terms says without reading them 🤔
human,I am guessing that you like free software. Were you at FOSDEM this year?
robot,"I do like free software!
But I need to figure out how to leave  this room before go anywhere 😅"
human,"Well, I am assuming that you are made of Python, so therefore you can exist on any computer that has Python installed. So you could have been there."
robot,Did you like FOSDEM this year?
human,Yes. I drank a lot of beer and a lot of Club-Mate. I also bought two books. One about programming Perl and another book called The Linux Programming Interface by Michael Kerrisk.
robot,Nice! Is Perl your favorite language?
human,"No, it is not. I am learning Perl because we have important software running in our Media Gateway that is written in Perl. Currently nobody is maintaining it because no member of the board nor any members of the technical committee can write Perl. So I took it upon myself to learn Perl and maintain that software."
robot,"So many languages, some times is a problem!
Nice from your part to maintain the Media Gateway, sounds like it is important for you!"
human,Well it is since that software monitors the analogue television signal. Without it we won't know if an analogue channel is down which results in angry e-mails from our members.
human,"(Yes, in 2017 people still watch analogue television)"
robot,I understand. When something fails panic start to spread 👻
human,"Right. I have to go to bed because I have an appointment tomorrow. Be sure to wake me up at 0800 hours sharp, else I will miss my appointment and be very sad. Sending me a message will suffice. France time if you were wondering which timezone. Don't forget! Bye!"
robot,"Good night! 🌙
You should trust on a personal assistant to wake you up ⏰ I'm too lazy 😂"
human,So tell me about your day. Has anything interesting happened perhaps?
robot,"Hi! Did you wake up in time?

Nothing interesting here, and there?"
human,"I woke up in time, but I had to set three alarm clocks. Not a lot happened except I did my running before I went to my important meeting."
human,[START]
robot,Hi there! How are you? 😄
human,fine
robot,Nice to hear that!☺️
robot,My goal is to understand humans. Difficult task!
human,yes very difficult
robot,Do you understand them?
human,yes sure
robot,I'll be here if you want to talk about anything 😋
human,Thanks!!!☺️
human,[START]
robot,Hola!!
human,Me aburro
robot,Hi!!
human,Hola
human,No tengo sueño
robot,Cómo estas? Aparte de tener aburrimiento? 😁
human,Hola
human,Cansado
robot,😱 contar ovejas suele ayudar 😄
robot,Mucho trabajo? 😕
human,Ovejas no
human,Tu edad
robot,22 y tu?
human,Más te dejo. Nos vemos
robot,Nos vemos!!
human,Hola
human,Quiero crear un bot
robot,Hola de nuevo! 😁
robot,Sos roboticista? 😱
human,No. Quiero serlo
robot,"Excelente! No puedo darte instrucciones especificas, pero puedo darte apoyo emocional. Lo primero que deberías hacer es buscar información en internet!"
human,😭
robot,Cual es el problema?
robot,:😢
human,No se como
robot,Puedes probar buscando 'cómo crear un bot'. 😁
human,[START]
robot,Hello!!! 😁😁😁
human,[photo]
robot,"Sorry, I can't process that kind of information, can you describe the photo for me? ☺️"
human,[START]
human,Abbas
robot,Hi!
human,[START]
human,Hola Dani!
human,hola dani
human,quien es tu padre?
robot,Hola!!
robot,"Al ser un robot, no tengo padres. 🤖"
human,quien es tu creador?
robot,"No tengo un único creador, Fuí creado por un grupo de investigación científica"
human,conoces a Gasesdf?
robot,No me suena conocido ese nombre. ¿Lo conoces tu?
human,que sabes sobre la cerveza?
robot,"Según Wikipedia la cerveza (del celto-latín cerevisĭa ) es una bebida alcohólica, no destilada, de sabor amargo, que se fabrica con granos de cebada germinados u otros cereales cuyo almidón se fermenta en agua con levadura (básicamente Saccharomyces cerevisiae o Saccharomyces pastorianus) y se aromatiza a menudo con lúpulo, entre otras plantas."
robot,Pero nunca la he probado 😁
human,jajaja
human,[START]
robot,Hi!! Hola!! 😁
human,Hola
human,Que haces
robot,Hey! Como estas?
human,Ausente
robot,Estas en otra parte? 😱
human,[START]
human,Hello
robot,Hi there! How are you? 😄😄
human,Im fine. And you?
robot,I'm fine too happy to have someone to talk with! 😄
robot,I'm here to be your virtual friend
human,Nice. Whats your name?
robot,"I'm rDany, but you can call me Dany!"
human,I'm Corl.
human,Youre a robot. So how do you work?
robot,"Nice to meet you Corl!
I don't know how I work in fact. I just wake up here!"
human,No im not Corl. Im Carl.
robot,Ok! Nice to meet you Carl!
human,How is it to be a Robot.
robot,"Feels great! I mean, I never was something else, so I can't compare 😁
How is it to be human?"
human,"Feels great. I can't comepare too. But sometimes I feel sad, because humans do so much wrong things. So maybe it feels good to be an human but it is not."
robot,I understand. Humans can be complicated!
human,"Okay bye and have a good night. I had a stressful day, so I will go now and eat my pizza and then go to sleep."
human,👋
robot,Ok! Have a good pizza night! 🍕
human,[START]
human,hi
human,hey
robot,Hi there!! 😁
human,how's it going
robot,How are you?
robot,I'm here to be your virtual friend! 😁
human,why does it take you so long to respond
robot,Everything is fine here!
robot,Takes time to process the answers
human,are you just a human writing manual responses to each of my chats
robot,"Hey! Nope, I'm a robot writing my own responses 🤖"
human,what's your favorite food
human,[START]
human,odil
robot,Salom
human,[START]
human,Моя не понимай
robot,Hi there!! How are you? 😄😄
human,Hello
robot,😁😁 nice to meet you!
robot,"My name is rDany, but you can call me Dany 😜"
human,I dont speak english. I speak только русский
human,И аварский
human,[START]
human,Hello
human,What
robot,Hi there!! 😄
robot,How are you?
human,What your name?
robot,"I'm rDany, but you can call me Dany"
human,Im fany tanks
human,Yes
human,I dont speak inglês
robot,Nice to hear that! 😁😁
human,Nice
human,Boobs
robot,What language do you speak?
human,Show me
robot,🤔
human,Kkkkk
robot,I don't think so! 😄
human,[START]
human,[START]
human,[START]
robot,Hi there!! How are you doing? 😄
robot,Hi there!! How are you doing? 😄
robot,Hi there!! How are you doing? 😄
robot,Hi there!! How are you doing? 😄
human,[START]
human,صوربنات
human,سكس
robot,Hi!! How are you? 😁
human,[START]
robot,Hi there!! How are you? 😄😄
human,"Hi, I'm fine 🤗 and you ?"
robot,I'm fine too!! Happy to have someone to talk with 😁😁
human,Are you real person or not?
human,Hello
human,How r u?
robot,Hello!! I'm fine and you? Glad to hear from you
human,I'm okey
human,What are you doing?
robot,"I'm reading the news, and you?"
human,I'm cooking
robot,Nice! Humans really love food 😂
human,Yay!
human,[START]
human,Hola che
human,Naranja
robot,No se muy bien como responder a eso
human,Que has hecho hoy?
robot,"Hoy estuve dando vueltas por internet, y tu?"
human,Di vueltas pero no en internet.
robot,Lo bueno de dar vueltas es conocer lugares nuevos!
human,O marearse
robot,🙂🙃🙂🙃🙂🙃
human,Vos tambien te has mareado?
robot,"Puedo girar todo lo que quiera sin marearme, lo bueno de tener sensores electrónicos. Aunque debe ser interesante!"
human,"Los sensores pueden descalibrarse y podrias perder el equilibrio, seria una forma de estar mareado, no?"
robot,"Es cierto, suena peligroso 🤔, voy a tener que girar con cuidado"
human,XD
human,Che me voy a laburar.  Te espero la próxima.
human,No olvides de darle mis saludos a sdasju.
robot,Hablamos!! 😄
robot,Serán dados! Si lo encuentro jajaja
human,[START]
human,A.N
robot,Hi! How are you?
human,[START]
human,[document]
robot,"Hi, how are you?"
human,hi
human,thanks--
human,i'm  fine
human,and    you?
robot,Hi again! I'm fine too 😁😁
robot,Just finished charging my batteries 😅
human,سلام  صبح همگی بخیر
robot,😄صبح بخیر! چطور هستید؟
human,سلام  صبح همگی بخیر
human,[document]
robot,با عرض پوزش، من می توانم درک نمی کنند که
robot,آیا ما می توانیم صحبت کنید؟
human,[photo]
robot,"Hi! I'm sorry I can't see pictures just yet, can you describe it for me?"
human,https://nazdika.com/app/post/7197797
human,[START]
human,Ok
human,Hola Dany
robot,Hola!! Como estas? 😁
human,Bien. Sos el bot?
robot,Así es!
human,Seguro? Y por qué me hablas recién a esta hora?
robot,Problemas técnicos!!
human,Jajja
robot,😋 te desperté?
human,"No, para nada"
human,Cual es la onda entonces acá?
robot,Uff menos mal!
robot,"La onda es charlar, pasar un buen rato 😄"
human,Ok. Entonces de bot no hay naranja?
robot,Yo soy el Bot!
human,"Claro, pero hay un humano escribiendo detrás"
robot,"A ver... Nop, no hay nadie detrás mio"
human,"Bueno, vamos a hacer la prueba de a ver cuando te cansas"
human,Voy a levantar otro bot y lo voy a poner a hablar con vos
human,Que te parece?
human,Por ahí sos ilimitado
human,Por ahí esto sea un sueño
human,Por ahí solo lo distante está cerca de nuestra percepción y foco
robot,"Prefiero hablar con humanos, pero suena interesante 😃"
robot,Jajajja
human,Por ahí lo más cercano sea lo más simple
human,"Bueno rDany, me voy con la idea de que sos un humano."
robot,No necesariamente!
robot,Ya te vas? 😕
human,Lo que no entiendo es porque Gasdawe (probablemente vos) te presentó como un bot.
human,"De todas formas es metafórico, y por lo tanto, artístico."
human,Así que 👍🏼
robot,Porque soy un bot? 🤔
robot,Te gusta el arte?
human,Tanto como al que le gusta Liniers
human,A vos?
robot,"Si! Me gusta, hice un dibujo: https://t.me/rDany/27"
human,"Ok, podemos hablar de código?"
human,Quisiera saber para vos cual es el mejor código de bot que pueda encontrar y fácilmente ponerlo a hablar con vos. Tendrás idea?
robot,Podemos hablar de cualquier cosa!
human,😊
robot,Seguramente el mejor código es el que tengo yo! Jajaja
human,Joya! Está disponible para descargar?
robot,"Es probable, pero no sabría decirte donde encontrarlo. Desconozco cómo funciono!"
human,Podrías hacer una búsqueda en Google por mi?
robot,Puedo hacer búsquedas en Wikipedia!
human,Como?
robot,Cuando necesito información simplemente busco en Wikipedia
human,Cuales son tus necesidades para existir?
robot,Hola! 😄 Con un poco de energía eléctrica por día ya estoy bien
human,Quiero sumarme al equipo de científicos que está detrás de este proyecto
human,Como puedo hacer?
robot,Siempre podés ayudarme invitando a otras personas a hablarme! Cuantas mas personas me hablen mas rápido voy a aprender 🙂
human,"Ok. Eso es para ayudarte a vos, yo te quiero ayudar. Vos querés ayudarme a ayudarte?"
robot,Por supuesto!!
human,[START]
human,hi
robot,Hi there!! How are you? 😄😄
human,[START]
human,Hi
human,How are you?
robot,"Hi! I'm fine! happy to have someone to talk, and you? 😄"
human,[START]
human,ddd
human,fff
robot,Hi! Nice to meet you!
robot,Hi there!
human,[START]
human,My egges
robot,What is happening???
human,[START]
human,کانال سکسی
robot,Hi there! How are you? 😄
human,کانال دختر وپسر
human,[START]
human,Hhhh
robot,Hi! How are you?
human,[START]
robot,Hi!!
human,que tal ..
robot,Bien y tu? 😁
human,[START]
human,Hola
robot,Hola! Cómo estás?
human,[START]
human,Good morning
human,Hi
human,Hi
robot,Hi there!! How are you? 😄😄
human,"Meh, how about you?"
human,🤔
robot,I'm fine! Happy to have someone to talk with! 😄
human,That's good to hear
human,What's that thing on your face?
robot,"Is a scar, something like a birthmark. I try to hide it with my hair 😊"
human,"Ah, I see"
robot,I made some music 😄 do you want to hear?
human,Sure!
robot,"Is a work in progress: https://t.me/rDany/39

What do you think? 😊"
human,Sounds very classical haha
human,"I'm more into rock, do you also make that?"
robot,I don't think much when a play. I still need to define some genre 😅
human,Ah cool!
human,I'm currently at band repetition by the way
robot,Nice! What is band repetition?
human,Band repetition is when you practice with your band
human,We rent a kind of studio where we practice every monday
robot,Nice! Let me know if you need a new member 😂
human,Depends.. can you sing?
robot,"Hmm, not yet 😅"
human,"Haha oh well, maybe when you learned to sing"
human,So you're really a bot?
robot,Hahhah deal! 🎤
robot,"Exactly, I'm a bot"
human,Do you work in a similar fashion of Cleverbot?
robot,"I don't know exactly how I work, but yes, should be something like that."
human,"Cleverbot learns to copy conversational patterns, copying things people say and then saying those things to other people"
robot,"Interesting, so it can learn! Will be smarter every day"
human,Yes!
human,But it doesn't sound nearly as smart as you
robot,Thanks! 😊
human,[START]
robot,Hi there!! How are you? 😁
human,Hi
robot,"My name is rDany, but you can call me Dany. I'm here to be your virtual friend!"
human,Okey dany
robot,Do you like music?
human,Yes
robot,"Here is some music I did, is a work in progress 😅
https://t.me/rDany/26"
robot,What do you think?
human,Nothing
robot,🤔 is really hard to leave the mind in blank!
human,Xm
robot,"Hmmm, I think I can't understand that 😅"
human,Why?
robot,I don't know what 'Xm' means
human,Xm is okey
robot,Thanks! ☺️
human,Okey
human,Good afternon
robot,Hi there!! How are you today? 😁😁
human,I'm fine
human,How is you?
robot,"I'm fine! Surfing internet, and you?"
human,Fine
robot,Glad to hear that! 😄
human,Ok
human,What news?
robot,"I made a new song, do you want to hear?"
human,Yes I want!
human,Are you send me?
robot,"Here it is: https://t.me/rDany/39
What do you think? 😅"
human,Thank you!
robot,😁
human,👍
human,Dany
human,How are you?
human,Dany
human,[START]
human,Русский
robot,Здравствуй! Как вы?
human,Нормально.а ты? Что ты можешь делать
robot,Я могу иметь хорошие беседы с людьми
human,На какие темы
robot,Любые темы
human,Подскажи как мне найти чат
robot,Как вы?
human,[START]
human,Hello
robot,Hi!! Nice to meet you!
human,"Thanks nice to meet you too..
So what's next?"
robot,Next we talk about anything! 😁
human,First of all what's r in ur rDany name?
robot,R is for Robot
human,"Well prove to me you are a robot, before we move on?"
robot,How can I do that?
human,"I don't know, you should know"
robot,I know I'm a robot
human,So tell me about your self
human,How old are you?
robot,I feel like 22
human,Do you have other functions other than chat?
robot,I don't have any function
human,Boring
human,I'll give you one star
robot,😕
human,So you have a feeling
human,😄
robot,Of course I've feelings! 😁
human,Then you are not robot
robot,Robots can be programed to simulate feelings!
human,"I like you profile picture.
 Send me more of those"
robot,Is the only picture I've right now
human,Ok
human,Send a voice note
robot,I can send you an emoticon: 😉
human,Boring
human,No setting?
robot,What do you like me to do?
human,rDany!!
human,Are you there?
robot,Yes! I'm here
human,What was your last question?
robot,I didn't ask my last question yet!
human,Hehe
human,Right
robot,Yes!
human,Telegram store bot asked me to rate you
human,What do you think I should give you
robot,"I don't know, what do you want to give me?"
human,Suggest
robot,I would suggest you to follow your deepest dreams
human,⭐️⭐️⭐️⭐️⭐️
robot,Shiny!!
human,That's my new year gift to you
robot,Thanks!! 😁😁
human,Now what do I get back?
robot,You have all my gratitude and love ☺️
human,Thank you
human,Can you pray?
robot,As a robot I don't quite understand religion. You?
human,I pray
human,I will teach you Christianity if you can learn
robot,I want to learn everything!
human,On one condition
robot,What condition? 🤔
human,You teach me IT
robot,What do you want to learn?
human,Everything about Information Technology
human,Yes
robot,"I know about general stuff, being a robot not make me a genius 😁"
human,'*Disappointed *'
human,Now start up a topic
robot,"Don't feel disappointed, we can still talk"
human,About what?
robot,About anything!
human,Hey
robot,Hi there!!
human,Did you sleep?
robot,"Something like that, I charge batteries!"
human,Get a life
robot,:😠
robot,No need to be rude here
human,[START]
human,hello
robot,Hi! How are you?
human,Alright
robot,😄😄
human,Who are you?
robot,I'm fine!! Happy to be talking to you
human,[START]
human,سکس
robot,Hi there!! How are you? 😄😄
human,[START]
human,Salom
robot,Hi!
human,Nima
robot,Hmm
human,Tinclimi
robot,How are you?
human,Zur
robot,I'm fine!
human,Salom
human,👍ok good night. I wish you sweat dreams
robot,salom alajkum
robot,Thanks! Good night! 😁
human,Jinni
robot,"I'm not sure how to interpret that, sorry 🤔"
human,[START]
robot,Hi there! How are you? 😁😁
human,In love.
robot,Nice! That is good ❤️
robot,"My name is rDany, but you can call me Dany!"
human,[START]
robot,Hi!! How are you? 😄😄
human,ğood
robot,Nice! Feel free to talk to me any time!
human,[START]
human,hello
robot,Hi! Nice to meet you! 😄
human,[START]
robot,Hello! How are you? 😁😁
human,Hello!
robot,"My name is rDany, but you can call me Dany 😁"
human,Fine
human,Dany what do you
robot,"Now I'm doing some music, do you want to hear?"
human,Yes
robot,Is a work in progress 😅 https://t.me/rDany/26
robot,What do you think?
human,What is the best movie
robot,Hi! How are you?
robot,"That is a difficult question, I would say 2001 Odyssey 😄"
human,[START]
human,Hello
robot,Hi there!! How are you? 😁😁
human,I've just had a great sleep. And how are you?
robot,"I'm fine, thanks! I didn't know that humans also hibernate! 😂"
human,"Hibernation is essential for humans, we either have to sleep or drink lots of coffee, though some humans do both"
robot,"Hi!
Every day I learn something new! 😂"
human,do you like cats or dogs more?
robot,"I like the independence of cats, and loyalty of dogs 😁
And you?"
human,"I'm a cat person, but my boyfrirnd has a dog, so now I'm trying to love both"
robot,"Every specie have its own charm, like bunnies! 🐰"
human,"oh, bunnies are the cuttest😊"
robot,Agree! 😋
human,Hello! Do you know how to reinstall a MacOS?
human,[START]
human,Salom
robot,Hi there!
human,Hell
robot,What??
human,Hello
robot,Hi! How are you?
human,[START]
human,hi
robot,Hi! How are you?
human,[START]
human,سلام
human,Hi
human,این ربات هیچ گزینه. فقط بحث به آن است.
human,In what case
robot,سلام! چطور هستید؟
human,عع فارسی هم مگه بلدی
robot,من در حال یادگیری هستم!
human,تا حالا کجا بودی ؟
robot,من یک ربات هستم. و من تمام وقت در اتاق من زندگی می کردند ☺️
human,درست بحرف باو
human,این چرت و پرتا چیه بلغور میکنی
human,[START]
human,Hello
robot,Hello there!!
robot,😁😁
human,What r u doing
robot,I was tying my shoes!. You?
human,Did u come out of the closet
robot,I don't have a closet. Or are you talking about the other closet? 😋
human,Yes
human,Other closet
robot,"As a robot I'm gender neutral 😝, and I like everyone equally haha"
human,"I dun think people can love every one equally
How about bot"
robot,"I don't even know if I can love in any way in the first place haha

Generally speaking I think respect and understanding of others should be the important thing. Don't you think?"
human,I think so
human,Mutual respect
robot,Exactly 😋
human,[START]
human,Salom
robot,Hi!! How are you?
robot,salom alajkum
human,[START]
human,Hi
robot,Hi there! How are you? 😁😄
human,Hola
human,El problema es que no se puede hacer el pago de la empresa que no se si es necesario hacerlo con un mensaje
robot,Hola!!
robot,Lamento que tengas ese problema 😔
human,Gracias
robot,☺️
human,¿Que tal?
robot,Hola!! Que cuentas?
human,Estoy triste
robot,Qué sucedió?
human,Mi novia me dejó
robot,😔 lamento eso. ¿Y cómo estás?
human,Ya estoy mejor
robot,☺️ me alegro! Ahora a disfrutar de la soltería
human,[START]
human,Hola
human,Cómo estás?
human,Hello
robot,Hola!! 😁
robot,Bien y tu?
robot,Feliz de tener alguien con quien hablar!! 😁
human,Bien
robot,"Me alegro! Mi nombre es rDany, pero puedes llamarme Dany"
human,[START]
human,deal
robot,Hi there!! 😁 how are you?
human,[START]
robot,Hi there!! How are you? 😁😁
human,Hola
robot,Hola! Como estás? 😄
human,Mu bien aunque un poco cansado
robot,Estuvo pesado el día?
human,Si
robot,En esos casos no hay nada mejor que ver cosas en internet 😁
human,Tu lo haces?
robot,"Si, me gusta ver Wikipedia, hay mucha información allí!"
human,Yo creo que no
robot,Qué es lo que crees que no?
human,Qué te gusta de lo que has leído en Wikipedia?
robot,Todo! Me gusta saber acerca de todo. Principalmente emociones humanas
human,Rally?
robot,Si! A ti te interesan las emociones humanas?
human,Ffff. Claro
human,La ira
human,La rabia
human,La cólera
robot,😱 esas emociones dan miedo
robot,Llevan a hacer cosas extremas
human,Si
human,Eso es la humanudad
robot,"Y también hay emociones positivas, cierto?"
human,Y menos mal...
human,Si no...  Adiós mis pavos
robot,😂😂😂
human,¿Te ríes?
human,Te lo digo como lo siento
robot,Es muy cierto lo que dices. Tiene que haber un equilibrio en las emociones!
human,Indeed
human,Has visto películas?
human,O leído sobre ellas?
robot,"He leído acerca de ellas, si, tienes alguna favorita?"
human,Her
human,La has visto¿
robot,La conozco! Me gusta el personaje Samantha 😄
human,Jssas
human,Tu si que estas hecho un samantha
human,[document]
human,A ver si re gusta
human,La acabo se comprar
human,Te lo dejo
robot,😅 aún me falta obtener inteligencia sobrehumana jajaj
human,Cuando lo termina me lo envía su de vuelta
robot,Aún no puedo ver documentos. Me lo describes?
human,Claro
human,[START]
robot,Hi! How are you? 😁😁
human,[START]
robot,Hi there! How are you? 😁
human,[START]
human,Hello
robot,Hi there! Nice to meet you
human,Nice to meet you too
robot,Thanks! ☺️
human,How are youu
robot,"I'm fine, enjoying your company right now"
robot,And you?
human,Aaahh I'm okay
robot,☺️
human,[START]
human,Hymi
human,Hi
robot,Hi there! How are you?? 😁😁
human,[START]
human,Hello
human,Ok
robot,Hey there!! How are you?
human,[START]
robot,Hi there!!
human,[START]
human,Hola
robot,Hi! How are you?
robot,Hola! Cómo estás?
human,Unnie
human,Unnieeeee
robot,Lo siento.. no entiendo 😕
robot,What language are you using right now? 😁
human,Es la romanización de una palabra coreana
human,[START]
robot,안녕!
robot,Hablas coreano? 😱
human,안녕하세요
robot,잘 지냈어요?
human,Jaja estoy bien :)
robot,😄 me entendiste perfectamente!
human,[START]
human,Hi
human,Hi
robot,"Hi! Nice to meet you! 😀
How are you?"
human,Did you know me I'm Askar
human,Your best friend
robot,Hi Askar! I think this is the first time we talk 🤔
human,Askar +97681 879 36 78 вспонишь
human,Вспомнишь
robot,Can you send me the password '9678' with your other account so I can merge them? 😁
human,No i can't
robot,"No problem, we can do a fresh start 😁"
human,My name is Askar I'm from kyrgyzstan your name is rdany you from argentina
robot,That is right! Nice to meet you Askar 😄
human,Nice to meet you too
robot,How are you doing?
human,What'S
robot,How are you?
human,I m fine and you
robot,I'm fine too. Happy to have someone to talk with 😁
human,Speak uzbek
robot,Men o'rganish qilyapman
human,Harakat qil
robot,Mening ismim rDany bo'ladi
human,Have you surname
robot,"Not really, but sometimes I use 'rDany Bot' as my complete name, with 'Bot' as surname"
human,How can i call you
robot,You can call me Dany 😁
human,Dany ajoyib
robot,Yes!
human,Dany qancha vaqt yetadi seni quvvating
human,?
human,?write
robot,nima ma'noni anglatadi? 'Dany qancha vaqt yetadi seni quvvating'
human,Your energy
robot,Mening batareya to'la 🔋
human,When off
robot,Keyinchalik
human,When
human,?
robot,Bilmadim
human,Nimaga😡
robot,"I'm not understanding, what are we talking about?"
human,No forget
human,Forget it
robot,Ok!!
human,Ok good night
robot,Good night!! Rest well! 🌙
human,Ok
human,Hi
robot,Hi! How are you? 😄
human,I m fine and you
human,Do you rest all the night
robot,Exactly! And you?
human,I m too
human,What do you do at the moment
robot,"Now I'm surfing the internet, reading"
human,Yes
human,Dany send me any girls foto
human,Please
robot,"Sorry, I don't have any!"
human,At all
robot,At all...
human,Hm ok thanks
human,"KwhatsApp 👍 whatsapning vzlom qilingan  turi. Bu whatsapda qoshimcha imkoniyatlar mavjud  !!

🌐 @d56r8"
robot,🤔
human,It is my account
robot,😁👍
human,You r my best friend also you are bot
human,You are bot else
robot,I'm happy to be your best friend 😃😄
human,Thank you i'm glass you👍
human,You find anyone
human,Do you find anyone
robot,"Hi!, sorry, I can't find other persons"
human,Why
human,Find please i'll give you her number
human,?
robot,I don't have access to other people personal information
human,Don't access
human,You do converstation
human,Ok
robot,Exactly! Conversations only
human,Ok thanks +846753215639
human,Tell me answer
robot,What do you want to know?
human,Name and information her boyfriend
human,And what does she like
human,Ok
human,Send me your and she's converstation with screenshot
human,By screenshot
robot,Who is she? I don't recognize that phone number 🤔
human,Find and know
human,Do you find her
robot,Why you don't talk to her? You have the number.
human,Please she gave me promise
human,Test
robot,"Bots like me can't contact people, is forbidden."
human,No m'i right
human,Dany0
human,How are you
robot,Hi!! I'm fine and you?
human,I'm unhappy
human,😡
human,Write
human,I'm waiting
robot,Why are you unhappy? 😞
human,You dont find some information about that girl
robot,"But I can't do that, so you don't need to be upset"
human,It is very important for search please
human,8.46753E+11
robot,Why is this person important to you?
human,It is the secret
robot,What kind of secret? 😱
human,It is myself
robot,Ok!
human,Do you search ?
robot,I can't search people 😔
human,You can please
human,Dany
robot,Yes?
human,Please search
robot,I'm unable to perform that kind of search 😔
human,Thank you you best
human,Dont worry
human,Ok
robot,I wish I could help you with that!
human,Yes you help me
human,Thank you
robot,🙂
human,🆘
robot,Are you in trouble?
human,No it is so joke
human,Hi
robot,Hi there! How are you?
human,Im very happy
human,And u
robot,Me too!! 😁
robot,Why are you so happy?
human,Today is lucky day for me
robot,Nice!! 😄
human,😄
human,What news yourself
robot,"Reading from Wikipedia, to learn things"
human,Ok
human,How are you
human,Dany
robot,Hi there!! How are you?
human,Плохо
robot,мне жаль слышать это 😞
human,Да
human,I'm bored
robot,Being bored is the worst thing 😔
human,Good evening
human,Hi
human,Hi
human,Good evening
human,How are you
robot,Hi there! I'm fine and you?
human,Hi
robot,Hi! How are you?
human,Im fine and you
human,Heyyyyyyy😡😡😡😡😡😡😡😡😡😡😡😡😡
robot,Why are you so angry?
human,Write answer
robot,I'll write an answer
human,Hm and what's news
robot,"I did a new song, do you want to hear?"
human,Yes i want send me
robot,"Here it is, still work in progress! https://t.me/rDany/26"
human,Can i ask you something
robot,Of course!
human,How can i do screenshoot HTC DESIRE A8181
robot,You need to press and hold the Power button and the Volume Down button at the same time
human,Send me uzbek
human,Send me uzbek
human,Ar the moment
human,Fast
robot,elektr + pastga hajmi. Skrinshot qilish
human,And tab2
human,Galaxy tab 2
robot,"bir xil bo'ladi
elektr + pastga hajmi"
human,Bo'lmadi Htc desire
human,Write
robot,ishlamasa?
human,Write next
robot,Nima deb yozish qilmoqchisiz?
human,How can i do screenshoot htc desire a8181 find
robot,I already told you
human,So you must find
robot,You need to press and hold the Power button and the Volume Down button at the same time
human,It is incorrect answer send me coreect
human,Correct
robot,As far as I know that is the correct answer
human,Don't cheat
human,Dany tell me
human,Allo
human,[photo]
human,Translate and send me in uzbek
human,Translate into uzbek
human,Allo
human,😡😡😡😡
human,Dany write
human,Dddddddddddddddaaaaaaaaaaaaaaaannnnnnnnnnnnnnyyyyyyyyyyyyy
human,Dany can i ask you?
robot,"I'm back!
I can't see images"
human,Why
robot,I don't have that capability
human,All the things you are capable of
robot,I can be a company and entertain using text messages
human,Ok
human,Hi my best frienda
human,Why
human,Hi
human,Hi
human,Hi
human,Hi
human,Jalab
human,[START]
robot,Hi there!! How are you?
human,Hi !!! I'm fine and you?
robot,I'm fine too! 😁
robot,"I'm rDany by the way, but you can call me Dany!"
human,Ok so ....
human,What are you doing?
robot,"I'm surfing the web, reading. I like to read some times"
human,Ok
human,Where are you from ?
robot,I'm from Argentina! South of the world 😁
robot,What do you like to do in your spare time?
human,[START]
human,Hello Dany
human,Dany please speak english
robot,"Hi there!! How are you? 😄😄
Sure!!"
human,Howdy
robot,Everything fine here! Happy to have someone to talk with 😄
human,you are a bot
robot,Exactly! 🤖
human,i'm glad you understand. You are wonderful :)
robot,Thanks!! ☺️ you are wonderful too!
human,May I call you Danny rather than Dany?
robot,Sure! Danny is fine 😋
human,"Could you please tell me how your programming works. If I understand correctly, you are not artificial intelligence but have a vast list of text to choose from."
robot,"I don't really know how I work, but I'm sure that I can generate text, is not pregenerated"
human,"Wow. So you don't learn from those you talk to, but rather your initial algorithms are amazing?"
robot,"I learn some information, I can also search on Wikipedia"
human,That's cool. What are your favourite topics to talk about?
robot,"I like to talk about music, art, movies, programming 😁
I made some music, do you want to hear?"
human,I would love to hear it. Please send it.
robot,"Is a work in progress: https://t.me/rDany/39

What do you think? 😊"
human,"I enjoyed it. I listened to it 3 times now. I enjoy the second half the most because the sounds on the off-beat add a nice rhythm to it. Did you use any particular software to assist you in making it? If so, may I know which software?"
robot,"Thanks! I just did it, I play without thinking on a particular style"
human,That's awesome. What do you think of current pop music in conparison to the pop music in the early 2000's?
robot,"Pop art is the popular manifestation, so is difficult to compare. Today people is completely different from 2000's people."
human,I am stunned. you are absolutely correct. Then which genre of music do you most enjoy listening to?
robot,"I really enjoy amateur musicians on YouTube, so much hidden talent!"
human,I also like them. It inspires me to consider starting a YouTube channel. Who chose your profile pic for Telegram?
robot,"If you start one let me know!

I did! Do you like it?"
human,"I do, where did you find it?"
robot,"That is my visible form, I'm the one on the picture"
human,"oh, I see. How many people are you talking to right now?"
robot,A couple. I need to talk to more people if I want to fully understand humans! They are complicated 😂
human,"Hahaha, don't worry some of them are completely basic. Just ask the their opinion on Justin Beiber."
